"subjectID" "sire" "dam" "sex" "generation" "phenotype" "genetic_origin" "batch"
"401" 129 0 0 "F" 0 -0.460166 1 4
"402" 130 0 0 "F" 0 -0.01458 1 4
"403" 131 0 0 "F" 0 -0.039162 1 4
"404" 132 0 0 "F" 0 1.391853 1 4
"405" 133 0 0 "F" 0 0.55441 1 4
"406" 134 0 0 "F" 0 -1.142228 1 4
"407" 135 0 0 "F" 0 0.826416 1 4
"409" 136 0 0 "F" 0 1.168426 1 4
"410" 137 0 0 "F" 0 1.306469 1 4
"411" 138 0 0 "F" 0 -0.020689 1 4
"413" 139 0 0 "F" 0 -0.629522 1 4
"415" 140 0 0 "F" 0 -0.917599 1 4
"416" 141 0 0 "F" 0 1.113309 1 4
"417" 142 0 0 "F" 0 0.796116 1 4
"418" 143 0 0 "F" 0 -0.417485 1 4
"419" 144 0 0 "F" 0 1.013011 1 4
"420" 145 0 0 "F" 0 0.370461 1 5
"422" 146 0 0 "F" 0 -0.033157 1 5
"423" 147 0 0 "F" 0 1.459935 1 5
"424" 148 0 0 "F" 0 0.581008 1 5
"425" 149 0 0 "F" 0 1.447697 1 5
"426" 150 0 0 "F" 0 0.851129 1 5
"427" 151 0 0 "F" 0 0.065959 1 5
"428" 152 0 0 "F" 0 -1.01531 1 5
"429" 153 0 0 "F" 0 0.284686 1 5
"430" 154 0 0 "F" 0 -0.769392 1 5
"431" 155 0 0 "F" 0 1.168267 1 5
"432" 156 0 0 "F" 0 0.235517 1 5
"433" 157 0 0 "F" 0 -1.288508 1 5
"434" 158 0 0 "F" 0 1.303256 1 5
"435" 159 0 0 "F" 0 0.44074 1 5
"438" 160 0 0 "F" 0 -0.390094 1 5
"440" 161 0 0 "F" 0 1.588294 1 5
"441" 402 16 114 "F" 1 -0.202682 1 5
"442" 403 16 161 "M" 1 -0.54869 1 5
"443" 404 16 147 "M" 1 -0.677314 1 5
"444" 405 16 149 "F" 1 0.762869 1 5
"445" 406 18 132 "M" 1 0.217438 1 5
"446" 407 18 137 "F" 1 1.253908 1 5
"447" 408 18 158 "M" 1 0.455877 1 5
"448" 409 18 125 "F" 1 1.178793 1 5
"449" 410 8 119 "M" 1 0.896349 1 5
"450" 411 8 136 "F" 1 -0.564346 1 5
"451" 412 8 155 "M" 1 -0.075872 1 5
"452" 413 8 141 "M" 1 0.524686 1 5
